Geographic Area,"Total Population April 1 2000r","Total Population April 1 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
Pittstown town,5644,5735,91,1.6%,60,36,83,58398,,A
Poestenkill town,4044,4530,486,12%,60,36,83,58805,,A
Rensselaer city,7892,9392,1500,19%,60,36,83,61148,,F
Sand Lake town,7987,8530,543,6.8%,60,36,83,65013,,A
Schaghticoke town,7456,7679,223,3%,60,36,83,65486,,A
Schodack town,12536,12794,258,2.1%,60,36,83,65541,,A
Stephentown town,2873,2903,30,1%,60,36,83,71102,,A
Troy city,49172,50129,957,1.9%,60,36,83,75484,,F
Richmond County,443729,468730,25001,5.6%,50,36,85,,,C
Rockland County,286761,311687,24926,8.7%,50,36,87,,,A
Clarkstown town,82056,84187,2131,2.6%,60,36,87,15968,,A
Haverstraw town,33825,36634,2809,8.3%,60,36,87,32765,,A
Orangetown town,47781,49212,1431,3%,60,36,87,55211,,A
Ramapo town,108852,126595,17743,16.3%,60,36,87,60510,,A
Stony Point town,14247,15059,812,5.7%,60,36,87,71674,,A
St. Lawrence County,111919,111944,25,0%,50,36,89,,,A
Brasher town,2337,2512,175,7.5%,60,36,89,7938,,A
Canton town,10334,10995,661,6.4%,60,36,89,12342,,A
Clare town,112,105,-7,-6.3%,60,36,89,15792,,A
Clifton town,791,751,-40,-5.1%,60,36,89,16287,,A
Colton town,1453,1451,-2,-0.1%,60,36,89,17409,,A
De Kalb town,2213,2434,221,10%,60,36,89,20038,,A
De Peyster town,936,998,62,6.6%,60,36,89,20335,,A
Edwards town,1148,1156,8,0.7%,60,36,89,23646,,A
Fine town,1622,1512,-110,-6.8%,60,36,89,25791,,A
Fowler town,2179,2202,23,1.1%,60,36,89,27100,,A
Gouverneur town,7419,7085,-334,-4.5%,60,36,89,29608,,A
Hammond town,1209,1191,-18,-1.5%,60,36,89,31841,,A
Hermon town,1069,1108,39,3.6%,60,36,89,34176,,A
Hopkinton town,1020,1077,57,5.6%,60,36,89,35595,,A
Lawrence town,1545,1826,281,18.2%,60,36,89,41564,,A
Lisbon town,4047,4102,55,1.4%,60,36,89,42631,,A
Louisville town,3195,3145,-50,-1.6%,60,36,89,43588,,A
Macomb town,846,906,60,7.1%,60,36,89,44391,,A
Madrid town,1828,1735,-93,-5.1%,60,36,89,44490,,A
Massena town,13121,12883,-238,-1.8%,60,36,89,46030,,A
Morristown town,2050,1974,-76,-3.7%,60,36,89,48582,,A
Norfolk town,4565,4668,103,2.3%,60,36,89,51330,,A
Ogdensburg city,12364,11128,-1236,-10%,60,36,89,54485,,F
Oswegatchie town,4370,4397,27,0.6%,60,36,89,55563,,A
Parishville town,2049,2153,104,5.1%,60,36,89,56374,,A
Piercefield town,305,310,5,1.6%,60,36,89,57716,,A
Pierrepont town,2674,2589,-85,-3.2%,60,36,89,57771,,A
Pitcairn town,783,846,63,8%,60,36,89,58266,,A
Potsdam town,15945,16041,96,0.6%,60,36,89,59575,,A
Rossie town,785,877,92,11.7%,60,36,89,63858,,A
