Geographic Area,"Total Population April 1 2000r","Total Population April 1 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
Princetown town,2132,2115,-17,-0.8%,60,36,93,59861,,A
Rotterdam town,28316,29094,778,2.7%,60,36,93,63935,,A
Schenectady city,61821,66135,4314,7%,60,36,93,65508,,F
Schoharie County,31582,32749,1167,3.7%,50,36,95,,,A
Blenheim town,330,377,47,14.2%,60,36,95,6893,,A
Broome town,959,973,14,1.5%,60,36,95,10154,,A
Carlisle town,1758,1948,190,10.8%,60,36,95,12452,,A
Cobleskill town,6407,6625,218,3.4%,60,36,95,16639,,A
Conesville town,727,734,7,1%,60,36,95,17651,,A
Esperance town,2043,2076,33,1.6%,60,36,95,24724,,A
Fulton town,1493,1442,-51,-3.4%,60,36,95,27826,,A
Gilboa town,1204,1307,103,8.6%,60,36,95,28981,,A
Jefferson town,1285,1410,125,9.7%,60,36,95,38440,,A
Middleburgh town,3515,3746,231,6.6%,60,36,95,46855,,A
Richmondville town,2412,2610,198,8.2%,60,36,95,61599,,A
Schoharie town,3299,3205,-94,-2.8%,60,36,95,65596,,A
Seward town,1637,1763,126,7.7%,60,36,95,66542,,A
Sharon town,1843,1846,3,0.2%,60,36,95,66641,,A
Summit town,1123,1148,25,2.2%,60,36,95,72070,,A
Wright town,1547,1539,-8,-0.5%,60,36,95,83195,,A
Schuyler County,19222,18343,-879,-4.6%,50,36,97,,,A
Catharine town,1930,1762,-168,-8.7%,60,36,97,12914,,A
Cayuta town,545,556,11,2%,60,36,97,13112,,A
Dix town,4197,3864,-333,-7.9%,60,36,97,20676,,A
Hector town,4854,4940,86,1.8%,60,36,97,33073,,A
Montour town,2446,2308,-138,-5.6%,60,36,97,48186,,A
Orange town,1754,1609,-145,-8.3%,60,36,97,55156,,A
Reading town,1786,1707,-79,-4.4%,60,36,97,60763,,A
Tyrone town,1710,1597,-113,-6.6%,60,36,97,75924,,A
Seneca County,33342,35251,1909,5.7%,50,36,99,,,A
Covert town,2227,2154,-73,-3.3%,60,36,99,18663,,A
Fayette town,3643,3929,286,7.9%,60,36,99,25505,,A
Geneva city,0,0,0,,60,36,99,28640,,F
Junius town,1362,1471,109,8%,60,36,99,38858,,A
Lodi town,1478,1550,72,4.9%,60,36,99,43225,,A
Ovid town,2755,2311,-444,-16.1%,60,36,99,55827,,A
Romulus town,2036,4316,2280,112%,60,36,99,63440,,A
Seneca Falls town,9347,9040,-307,-3.3%,60,36,99,66333,,A
Tyre town,899,981,82,9.1%,60,36,99,75902,,A
Varick town,1729,1857,128,7.4%,60,36,99,76958,,A
Waterloo town,7866,7642,-224,-2.8%,60,36,99,78564,,A
Steuben County,98728,98990,262,0.3%,50,36,101,,,A
Addison town,2640,2595,-45,-1.7%,60,36,101,287,,A
Avoca town,2311,2264,-47,-2%,60,36,101,3342,,A
Bath town,12088,12379,291,2.4%,60,36,101,4770,,A
Bradford town,772,855,83,10.8%,60,36,101,7740,,A
Cameron town,1034,945,-89,-8.6%,60,36,101,11880,,A
Campbell town,3691,3406,-285,-7.7%,60,36,101,11946,,A
Canisteo town,3583,3391,-192,-5.4%,60,36,101,12265,,A
Caton town,2097,2179,82,3.9%,60,36,101,12991,,A
Cohocton town,2626,2561,-65,-2.5%,60,36,101,16738,,A
Corning city,10835,11183,348,3.2%,60,36,101,18256,,F
Corning town,6433,6270,-163,-2.5%,60,36,101,18267,,A
Dansville town,1977,1842,-135,-6.8%,60,36,101,19675,,A
Erwin town,7227,8037,810,11.2%,60,36,101,24647,,A
Fremont town,964,1008,44,4.6%,60,36,101,27551,,A
Greenwood town,849,801,-48,-5.7%,60,36,101,30741,,A
Hartsville town,585,609,24,4.1%,60,36,101,32567,,A
Hornby town,1742,1706,-36,-2.1%,60,36,101,35661,,A
Hornell city,9149,8563,-586,-6.4%,60,36,101,35672,,F
Hornellsville town,3915,4151,236,6%,60,36,101,35683,,A
Howard town,1430,1467,37,2.6%,60,36,101,35837,,A
Jasper town,1270,1424,154,12.1%,60,36,101,38319,,A
Lindley town,1913,1967,54,2.8%,60,36,101,42576,,A
Prattsburgh town,2064,2085,21,1%,60,36,101,59718,,A
Pulteney town,1405,1285,-120,-8.5%,60,36,101,59982,,A
Rathbone town,1080,1126,46,4.3%,60,36,101,60653,,A
Thurston town,1309,1350,41,3.1%,60,36,101,73836,,A
Troupsburg town,1126,1291,165,14.7%,60,36,101,75440,,A
Tuscarora town,1400,1473,73,5.2%,60,36,101,75737,,A
Urbana town,2546,2343,-203,-8%,60,36,101,76496,,A
Wayland town,4314,4102,-212,-4.9%,60,36,101,78861,,A
Wayne town,1167,1041,-126,-10.8%,60,36,101,78883,,A
West Union town,399,312,-87,-21.8%,60,36,101,81105,,A
Wheeler town,1263,1260,-3,-0.2%,60,36,101,81457,,A
Woodhull town,1524,1719,195,12.8%,60,36,101,82843,,A
Suffolk County,1419372,1493350,73978,5.2%,50,36,103,,,A
Babylon town,212139,213603,1464,0.7%,60,36,103,4000,,A
Brookhaven town,448239,486040,37801,8.4%,60,36,103,10000,,A
East Hampton town,19719,21457,1738,8.8%,60,36,103,22194,,A
Huntington town,195289,203264,7975,4.1%,60,36,103,37000,,A
Islip town,322435,335543,13108,4.1%,60,36,103,38000,,A
Poospatuck Reservation,283,324,41,14.5%,60,36,103,59106,,F
Riverhead town,27680,33506,5826,21%,60,36,103,61984,,A
Shelter Island town,2226,2392,166,7.5%,60,36,103,66839,,A
Shinnecock Reservation,504,662,158,31.3%,60,36,103,67059,,F
Smithtown town,115545,117801,2256,2%,60,36,103,68000,,A
Southampton town,54714,56790,2076,3.8%,60,36,103,68473,,A
Southold town,20599,21968,1369,6.6%,60,36,103,69463,,A
Sullivan County,73962,77547,3585,4.8%,50,36,105,,,A
Bethel town,4364,4255,-109,-2.5%,60,36,105,6310,,A
Callicoon town,3052,3057,5,0.2%,60,36,105,11759,,A
Cochecton town,1327,1372,45,3.4%,60,36,105,16661,,A
Delaware town,2720,2670,-50,-1.8%,60,36,105,20104,,A
Fallsburg town,12227,12870,643,5.3%,60,36,105,25241,,A
Forestburgh town,831,819,-12,-1.4%,60,36,105,26528,,A
Fremont town,1387,1381,-6,-0.4%,60,36,105,27573,,A
Highland town,2407,2530,123,5.1%,60,36,105,34473,,A
Liberty town,9638,9885,247,2.6%,60,36,105,42235,,A
Lumberland town,1936,2468,532,27.5%,60,36,105,43786,,A
Mamakating town,11004,12085,1081,9.8%,60,36,105,44809,,A
Neversink town,3556,3557,1,0%,60,36,105,49847,,A
Rockland town,3913,3775,-138,-3.5%,60,36,105,63176,,A
Thompson town,14185,15308,1123,7.9%,60,36,105,73627,,A
Tusten town,1415,1515,100,7.1%,60,36,105,75759,,A
Tioga County,51787,51125,-662,-1.3%,50,36,107,,,A
Barton town,9066,8858,-208,-2.3%,60,36,107,4671,,A
Berkshire town,1366,1412,46,3.4%,60,36,107,6145,,A
Candor town,5317,5305,-12,-0.2%,60,36,107,12221,,A
Newark Valley town,4100,3946,-154,-3.8%,60,36,107,49913,,A
Nichols town,2583,2525,-58,-2.2%,60,36,107,51121,,A
Owego town,20366,19883,-483,-2.4%,60,36,107,55893,,A
Richford town,1170,1172,2,0.2%,60,36,107,61511,,A
Spencer town,2979,3153,174,5.8%,60,36,107,70178,,A
Tioga town,4840,4871,31,0.6%,60,36,107,73968,,A
Tompkins County,96502,101564,5062,5.2%,50,36,109,,,A
Caroline town,2912,3282,370,12.7%,60,36,109,12606,,A
Danby town,3007,3329,322,10.7%,60,36,109,19620,,A
Dryden town,13531,14435,904,6.7%,60,36,109,20962,,A
Enfield town,3370,3512,142,4.2%,60,36,109,24548,,A
Groton town,5794,5950,156,2.7%,60,36,109,30972,,A
Ithaca city,28775,30014,1239,4.3%,60,36,109,38077,,F
Ithaca town,18709,19930,1221,6.5%,60,36,109,38088,,A
Lansing town,10521,11033,512,4.9%,60,36,109,41234,,A
Newfield town,5108,5179,71,1.4%,60,36,109,50254,,A
Ulysses town,4775,4900,125,2.6%,60,36,109,75990,,A
Ulster County,177694,182493,4799,2.7%,50,36,111,,,A
Denning town,511,551,40,7.8%,60,36,111,20247,,A
Esopus town,9333,9041,-292,-3.1%,60,36,111,24691,,A
Gardiner town,5238,5713,475,9.1%,60,36,111,28255,,A
Hardenburgh town,208,238,30,14.4%,60,36,111,32116,,A
Hurley town,6562,6314,-248,-3.8%,60,36,111,37143,,A
Kingston city,23478,23893,415,1.8%,60,36,111,39727,,F
Kingston town,908,889,-19,-2.1%,60,36,111,39738,,A
Lloyd town,9938,10863,925,9.3%,60,36,111,42994,,A
Marbletown town,5854,5607,-247,-4.2%,60,36,111,45458,,A
Marlborough town,8263,8808,545,6.6%,60,36,111,45722,,A
New Paltz town,12830,14003,1173,9.1%,60,36,111,50562,,A
Olive town,4579,4419,-160,-3.5%,60,36,111,54749,,A
Plattekill town,9889,10499,610,6.2%,60,36,111,58552,,A
Rochester town,7010,7313,303,4.3%,60,36,111,63011,,A
Rosendale town,6345,6075,-270,-4.3%,60,36,111,63737,,A
Saugerties town,18822,19482,660,3.5%,60,36,111,65299,,A
Shandaken town,3226,3085,-141,-4.4%,60,36,111,66597,,A
Shawangunk town,12020,14332,2312,19.2%,60,36,111,66674,,A
Ulster town,12526,12327,-199,-1.6%,60,36,111,75935,,A
Wawarsing town,13928,13157,-771,-5.5%,60,36,111,78828,,A
Woodstock town,6226,5884,-342,-5.5%,60,36,111,83052,,A
Warren County,63303,65707,2404,3.8%,50,36,113,,,A
Bolton town,2117,2326,209,9.9%,60,36,113,7234,,A
Chester town,3614,3355,-259,-7.2%,60,36,113,15319,,A
Glens Falls city,14354,14700,346,2.4%,60,36,113,29333,,F
Hague town,854,699,-155,-18.1%,60,36,113,31335,,A
Horicon town,1479,1389,-90,-6.1%,60,36,113,35639,,A
Johnsburg town,2450,2395,-55,-2.2%,60,36,113,38715,,A
Lake George town,3578,3515,-63,-1.8%,60,36,113,40519,,A
Lake Luzerne town,3219,3347,128,4%,60,36,113,40662,,A
Queensbury town,25441,27901,2460,9.7%,60,36,113,60356,,A
Stony Creek town,743,767,24,3.2%,60,36,113,71641,,A
Thurman town,1199,1219,20,1.7%,60,36,113,73814,,A
Warrensburg town,4255,4094,-161,-3.8%,60,36,113,78300,,A
Washington County,61042,63216,2174,3.6%,50,36,115,,,A
Argyle town,3688,3782,94,2.5%,60,36,115,2561,,A
Cambridge town,2154,2021,-133,-6.2%,60,36,115,11836,,A
Dresden town,677,652,-25,-3.7%,60,36,115,20885,,A
Easton town,2259,2336,77,3.4%,60,36,115,22656,,A
Fort Ann town,6417,6190,-227,-3.5%,60,36,115,26715,,A
Fort Edward town,5892,6371,479,8.1%,60,36,115,26781,,A
Granville town,6456,6669,213,3.3%,60,36,115,30037,,A
Greenwich town,4896,4942,46,0.9%,60,36,115,30686,,A
Hampton town,871,938,67,7.7%,60,36,115,31885,,A
Hartford town,2277,2269,-8,-0.4%,60,36,115,32457,,A
Hebron town,1775,1853,78,4.4%,60,36,115,33040,,A
Jackson town,1716,1800,84,4.9%,60,36,115,38143,,A
Kingsbury town,11171,12671,1500,13.4%,60,36,115,39650,,A
Putnam town,645,609,-36,-5.6%,60,36,115,60092,,A
Salem town,2702,2715,13,0.5%,60,36,115,64782,,A
White Creek town,3411,3356,-55,-1.6%,60,36,115,81578,,A
Whitehall town,4035,4042,7,0.2%,60,36,115,81633,,A
Wayne County,93766,93772,6,0%,50,36,117,,,A
Arcadia town,14889,14244,-645,-4.3%,60,36,117,2440,,A
Butler town,2277,2064,-213,-9.4%,60,36,117,11473,,A
Galen town,4439,4290,-149,-3.4%,60,36,117,28013,,A
Huron town,2117,2118,1,0%,60,36,117,37165,,A
Lyons town,5831,5682,-149,-2.6%,60,36,117,43973,,A
Macedon town,8688,9148,460,5.3%,60,36,117,44160,,A
Marion town,4974,4746,-228,-4.6%,60,36,117,45645,,A
Ontario town,9779,10136,357,3.7%,60,36,117,55013,,A
Palmyra town,7672,7975,303,3.9%,60,36,117,56198,,A
Rose town,2442,2369,-73,-3%,60,36,117,63605,,A
Savannah town,1838,1730,-108,-5.9%,60,36,117,65343,,A
Sodus town,8949,8384,-565,-6.3%,60,36,117,68220,,A
Walworth town,8402,9449,1047,12.5%,60,36,117,78102,,A
Williamson town,6777,6984,207,3.1%,60,36,117,82040,,A
Wolcott town,4692,4453,-239,-5.1%,60,36,117,82689,,A
Westchester County,923459,949113,25654,2.8%,50,36,119,,,A
Bedford town,18133,17335,-798,-4.4%,60,36,119,5320,,A
Cortlandt town,38469,41592,3123,8.1%,60,36,119,18410,,A
Eastchester town,31334,32363,1029,3.3%,60,36,119,21820,,A
Greenburgh town,86831,88400,1569,1.8%,60,36,119,30367,,A
Harrison town,24129,27472,3343,13.9%,60,36,119,32413,,B
Lewisboro town,12324,12411,87,0.7%,60,36,119,42136,,A
Mamaroneck town,28967,29156,189,0.7%,60,36,119,44842,,A
Mount Kisco town,10007,10877,870,8.7%,60,36,119,48895,,C
Mount Pleasant town,43221,43724,503,1.2%,60,36,119,49011,,A
Mount Vernon city,68381,67292,-1089,-1.6%,60,36,119,49121,,F
New Castle town,17467,17569,102,0.6%,60,36,119,50078,,A
New Rochelle city,72182,77062,4880,6.8%,60,36,119,50617,,F
North Castle town,10849,11841,992,9.1%,60,36,119,51693,,A
North Salem town,5173,5104,-69,-1.3%,60,36,119,53517,,A
Ossining town,36534,37674,1140,3.1%,60,36,119,55541,,A
Peekskill city,22441,23583,1142,5.1%,60,36,119,56979,,F
Pelham town,11866,12396,530,4.5%,60,36,119,57012,,A
Pound Ridge town,4726,5104,378,8%,60,36,119,59685,,A
Rye city,14953,15720,767,5.1%,60,36,119,64309,,F
Rye town,43907,45928,2021,4.6%,60,36,119,64320,,A
Scarsdale town,17825,17166,-659,-3.7%,60,36,119,65442,,C
Somers town,18346,20434,2088,11.4%,60,36,119,68308,,A
White Plains city,53075,56853,3778,7.1%,60,36,119,81677,,F
Yonkers city,196001,195976,-25,0%,60,36,119,84000,,F
Yorktown town,36318,36081,-237,-0.7%,60,36,119,84077,,A
Wyoming County,43424,42155,-1269,-2.9%,50,36,121,,,A
Arcade town,4184,4205,21,0.5%,60,36,121,2418,,A
Attica town,7806,7702,-104,-1.3%,60,36,121,3012,,A
Bennington town,3349,3359,10,0.3%,60,36,121,5936,,A
Castile town,2873,2906,33,1.1%,60,36,121,12782,,A
Covington town,1357,1232,-125,-9.2%,60,36,121,18696,,A
Eagle town,1194,1192,-2,-0.2%,60,36,121,21369,,A
Gainesville town,2333,2182,-151,-6.5%,60,36,121,27980,,A
Genesee Falls town,460,438,-22,-4.8%,60,36,121,28596,,A
Java town,2222,2057,-165,-7.4%,60,36,121,38341,,A
Middlebury town,1508,1441,-67,-4.4%,60,36,121,46877,,A
Orangeville town,1301,1355,54,4.2%,60,36,121,55222,,A
Perry town,4876,4616,-260,-5.3%,60,36,121,57254,,A
Pike town,1086,1114,28,2.6%,60,36,121,57826,,A
Sheldon town,2561,2409,-152,-5.9%,60,36,121,66773,,A
Warsaw town,5423,5064,-359,-6.6%,60,36,121,78344,,A
Wethersfield town,891,883,-8,-0.9%,60,36,121,81325,,A
Yates County,24621,25348,727,3%,50,36,123,,,A
Barrington town,1396,1681,285,20.4%,60,36,123,4594,,A
Benton town,2640,2836,196,7.4%,60,36,123,6002,,A
Italy town,1087,1141,54,5%,60,36,123,38044,,A
Jerusalem town,4525,4469,-56,-1.2%,60,36,123,38583,,A
Middlesex town,1345,1495,150,11.2%,60,36,123,47020,,A
Milo town,7026,7006,-20,-0.3%,60,36,123,47504,,A
Potter town,1830,1865,35,1.9%,60,36,123,59597,,A
Starkey town,3465,3573,108,3.1%,60,36,123,70816,,A
Torrey town,1307,1282,-25,-1.9%,60,36,123,75055,,A
